title,Poster,year,rating,genres,director,actors,plot,age rating
Aqua Teen Hunger Force Colon Movie Film for Theaters,https://m.media-amazon.com/images/M/MV5BMTc0OTQwNzYyNF5BMl5BanBnXkFtZTcwMDc5NTM0MQ@@._V1_SX300.jpg,2007,6.7,"Animation, Action, Adventure","Matt Maiellaro, Dave Willis","Dana Snyder, Dave Willis, Carey Means","An action epic that explores the origins of Master Shake, Frylock, and Meatwad, better known as the Aqua Teen Hunger Force, who somehow become pitted in a battle over an immortal piece of exercise equipment.",R
Teen Beach Movie,https://m.media-amazon.com/images/M/MV5BZDFjYjdlODItN2MzMC00YzgxLWJiMDktOTI3MGQyOGY2YmQxXkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_SX300.jpg,2013,5.9,"Comedy, Family, Fantasy",Jeffrey Hornaday,"Ross Lynch, Maia Mitchell, Gracie Gillam","Two surfing lovers, whose doomed relationship is nearing to a close, find themselves swept into a dimension-traversing wave that sends them into a beach movie musical in the 60's.",Not Rated
Trailer Park Boys: The Movie,https://m.media-amazon.com/images/M/MV5BMTY5Mzg4MDM1M15BMl5BanBnXkFtZTcwNTk4MzkzMQ@@._V1_SX300.jpg,2006,7.1,"Comedy, Crime",Mike Clattenburg,"Robb Wells, John Paul Tremblay, Mike Smith","Ricky, Julian, and Bubbles come up with a scheme to steal large amounts of untraceable coins.",R
My Scientology Movie,https://m.media-amazon.com/images/M/MV5BMTQ5NTI2NDc3NF5BMl5BanBnXkFtZTgwNDA3ODk2MTI@._V1_SX300.jpg,2015,6.6,Documentary,John Dower,"Louis Theroux, Tom Cruise, Marty Rathbun",Louis Theroux documents his investigation into what goes on behind the scenes of the infamous Church of Scientology.,Not Rated
Phineas and Ferb the Movie: Across the 2nd Dimension,https://m.media-amazon.com/images/M/MV5BN2M4YTE0YWYtNDIxZC00MmQyLThhYjgtYTNjMTJhZjU2NzM0XkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_SX300.jpg,2011,7.4,"Animation, Action, Adventure","Robert Hughes, Dan Povenmire, Jay Lender","Vincent Martella, Ashley Tisdale, Thomas Brodie-Sangster","Phineas and Ferb discover that Perry is a secret agent, and they all get stuck in an alternate dimension where Doofenschmirtz is the ruler of the tri-state area.",TV-G
Teen Wolf: The Movie,https://m.media-amazon.com/images/M/MV5BYWYyZWU5NzctYjY4Zi00MzYyLTgxZTMtZjBmYWE2NGMwYTllXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,2023,5.6,"Action, Drama, Fantasy",Russell Mulcahy,"Tyler Posey, Crystal Reed, Holland Roden","A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.",TV-MA
Absolutely Fabulous: The Movie,https://m.media-amazon.com/images/M/MV5BMjI4NDI5MDg2OV5BMl5BanBnXkFtZTgwNzA5ODQ3ODE@._V1_SX300.jpg,2016,5.4,"Comedy, Crime",Mandie Fletcher,"Jennifer Saunders, Joanna Lumley, Jane Horrocks","After attracting both media and police attention for accidentally knocking Kate Moss into the River Thames, Edina and Patsy hide out in the south of France.",R
Still: A Michael J. Fox Movie,https://m.media-amazon.com/images/M/MV5BNGFmYmUyMDUtNjk1MS00ZDMzLWEyMmUtM2I4YzhhZjRiYjk2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,2023,8.1,"Documentary, Biography",Davis Guggenheim,"Tracy Pollan, Sam Fox, Aquinnah Fox","Follows the life of beloved actor and advocate Michael J. Fox, exploring his personal and professional triumphs and travails, and what happens when an incurable optimist confronts an incurable disease.",R
Psych: The Movie,https://m.media-amazon.com/images/M/MV5BZjE2Mzk5NGItMTEzMi00MmYxLWFlNjEtNGFmZGViNzQ2ZWFkXkEyXkFqcGdeQXVyMjM5NzU3OTM@._V1_SX300.jpg,2017,7.3,"Comedy, Crime, Mystery",Steve Franks,"James Roday Rodriguez, Dulé Hill, Timothy Omundson",The old gang comes together during the holidays after a mystery assailant targets one of their own.,TV-PG
Ultimate Avengers: The Movie,https://m.media-amazon.com/images/M/MV5BMTYyMjk0NTMwMl5BMl5BanBnXkFtZTgwNzY0NjAwNzE@._V1_SX300.jpg,2006,6.7,"Animation, Action, Adventure, Sci-Fi","Curt Geda, Steven E. Gordon, Bob Richardson","Justin Gross, Grey Griffin, Michael Massee, Marc Worden","To confront an alien menace, General Fury assembles a team of superheroes lead by a recently resuscitated Captain America.",PG-13
Fullmetal Alchemist the Movie: Conqueror of Shamballa,https://m.media-amazon.com/images/M/MV5BOWZmYWRmYTUtMDFhMS00OTJiLTkwYTgtY2VkNjgxMmI3YzJkXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,2005,7.3,"Animation, Action, Adventure",Seiji Mizushima,"Vic Mignogna, Aaron Dismuke, Jason Liebrecht","Edward Elric, an alchemist from an alternate world, races to prevent the Thule Society from harnessing alchemy to wage war on his home.",PG-13
Tom and Jerry: The Movie,https://m.media-amazon.com/images/M/MV5BMjMxYjU0NmUtOTg0NC00ZGQ5LWEwZjEtZTU4OTgwMzAwYjk5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,1992,5.4,"Animation, Adventure, Comedy",Phil Roman,"Richard Kind, Dana Hill, Anndi McAfee",Cat and mouse duo Tom and Jerry reluctantly work together to save a young girl from her evil aunt.,G
Boruto: Naruto the Movie,https://m.media-amazon.com/images/M/MV5BNDIwYjg5YzItZTJmMC00YjJhLWFiNjYtMDU5MmQxOTQxODM2XkEyXkFqcGdeQXVyMjc2Nzg5OTQ@._V1_SX300.jpg,2015,7.8,"Animation, Action, Adventure","Hiroyuki Yamashita, Toshiyuki Tsuru","Yûko Sanpei, Kokoro Kikuchi, Ryûichi Kijima","It's been some years since the end of the Shinobi War. Naruto Uzumaki is the 7th Hokage of Konohagakure, in this new era. His son, Boruto Uzumaki, will soon enter the Chûnin exams, alongside Sarada Uchiha and the mysterious Mitsuki.",PG
Extreme Movie,https://m.media-amazon.com/images/M/MV5BNDAzNzQ4MDEtOGViNi00YjliLTlkMmItNjc0YWRhZGJhMDJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,2008,3.7,Comedy,"Adam Jay Epstein, Andrew Jacobson","Frankie Muniz, Michael Cera, Ashley Schneider",A sketch-comedy movie about the joys and embarrassments of teen sex. But mostly the embarrassments.,R
The Powerpuff Girls Movie,https://m.media-amazon.com/images/M/MV5BNDE2ZWIyZmItYjNlZC00NmQ4LWIyMjQtMDJiM2JmYWMyOWQzXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_SX300.jpg,2002,6.5,"Animation, Action, Adventure",Craig McCracken,"Cathy Cavadini, Tara Strong, Elizabeth Daily","After destroying the city of Townsville in a game of tag, a trio of super-powered little girls must redeem themselves by stopping a vengeful monkey's plot for world domination.",PG
An Extremely Goofy Movie,https://m.media-amazon.com/images/M/MV5BNTJkNmQ1ODItNTJhOS00NWRhLTg0NjAtYjZlNWYxZWJmNTY4XkEyXkFqcGdeQXVyOTg4MDk3MTQ@._V1_SX300.jpg,2000,6.4,"Animation, Comedy, Family, Sport",Douglas McCarthy,"Bill Farmer, Jason Marsden, Jeff Bennett, Jim Cummings","Max goes to college, but to his embarassment his father loses his job and goes to his son's campus.",G
Tim and Eric's Billion Dollar Movie,https://m.media-amazon.com/images/M/MV5BMTU0NTQ5NDYwMV5BMl5BanBnXkFtZTcwNjUzNzUxNw@@._V1_SX300.jpg,2012,5.3,Comedy,"Tim Heidecker, Eric Wareheim","Tim Heidecker, Eric Wareheim, Robert Loggia","Two guys get a billion dollars to make a movie, only to watch their dream run off course. In order to make the money back, they then attempt to revitalize a failing shopping mall.",R
Left Behind: The Movie,https://m.media-amazon.com/images/M/MV5BMGU3MmMxOWYtZmNhNi00ZjczLWJkYmEtMjJjZjBiZDRiYmZmXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,2000,4.3,"Action, Drama, Fantasy",Vic Sarin,"Kirk Cameron, Brad Johnson, Janaya Stephens",The Biblical prophecy of Armegeddon begins when the Rapture instantly takes all believers in Christ from the Earth. A reporter left behind learns that the Anti-Christ will soon take power.,PG-13
It's Pat: The Movie,https://m.media-amazon.com/images/M/MV5BM2VhMjI0NDQtZWRjMS00ZWY4LTk2MmItZTY4MzE4M2ZmOTQ3L2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,1994,2.7,Comedy,Adam Bernstein,"Julia Sweeney, David Foley, Charles Rocket",The comedic misadventures of a person of indeterminate gender.,PG-13
Threat Level Midnight: The Movie,https://m.media-amazon.com/images/M/MV5BZjMzNzE4ZGItMDI5Zi00ZjE3LThkODctYTlhZWY1ZTdmMGNjXkEyXkFqcGdeQXVyOTExNzM4NDM@._V1_SX300.jpg,2019,9.6,"Action, Comedy",Tucker Gates,"Steve Carell, John Krasinski, Rainn Wilson","After secret agent Michael Scarn (Steve Carell) is forced into retirement after the death of his wife Catherine Zeta-Scarn, the President of the United States of America (Craig Robinson) requests that he prevents Goldenface (John ...",TV-14
Doctor Who: The Movie,https://m.media-amazon.com/images/M/MV5BMDFiMGU1MmQtMTg0Ny00ZmQ4LTkyMWMtYjVlZGRmMWY5ZDliXkEyXkFqcGdeQXVyMTA0MTI2ODE4._V1_SX300.jpg,1996,6.3,"Adventure, Drama, Sci-Fi",Geoffrey Sax,"Paul McGann, Eric Roberts, Daphne Ashbrook","The newly-regenerated Doctor takes on the Master on the turn of the millennium, 31 December 1999.",TV-14
Uno: The Movie,https://m.media-amazon.com/images/M/MV5BN2YyNmMzZmQtYjg1MS00OTEwLTkwZDEtOWNlMTEzOWIzMWM3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzQwNDg4MQ@@._V1_SX300.jpg,2016,9.5,Comedy,N/A,"Geoff Ramsey, Gavin Free, Ryan Haywood, Jeremy Dooley",What had started as a simple game of UNO! turned into a psychological horror. Coworkers are driven to the edge of madness as they commit to a game of Uno.,N/A
The Batman Superman Movie: World's Finest,https://m.media-amazon.com/images/M/MV5BZTQ3YWJhODMtYTdmNC00MmZiLThhOWYtM2UxZDBjNjRlY2EwXkEyXkFqcGdeQXVyMjI4OTg3MTc@._V1_SX300.jpg,1997,7.7,"Animation, Action, Adventure",Toshihiko Masuda,"Tim Daly, Dana Delany, Kevin Conroy",Joker goes to Metropolis with an offer and plan to kill Superman for Lex Luthor while Batman pursues the clown to Superman's turf.,TV-PG
Street Fighter II: The Animated Movie,https://m.media-amazon.com/images/M/MV5BYzY4OWMzZDUtNDE4Ny00MzJhLWFhN2YtNTA1Mjc1MWE4MTE4XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,1994,7.2,"Animation, Action, Adventure",Gisaburô Sugii,"Kôjiro Shimizu, Kenji Haga, Miki Fujitani","Based on the legendary video game series. This anime classic follows Ryu, a talented fighter who may be the greatest in all of the world, and Bison, the evil mastermind searching for Ryu's talents.",PG-13
Turbo: A Power Rangers Movie,https://m.media-amazon.com/images/M/MV5BMzAxMDA0MGUtMWJjYy00YWNlLTk1NmEtNTM5Y2FjYjMzNjM5XkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_SX300.jpg,1997,3.6,"Action, Adventure, Family","Shuki Levy, David Winning","Jason David Frank, Catherine Sutherland, Hilary Shepard","A space alien is threatening to bring destruction on Earth, and the Power Rangers are enhanced with turbo powers in order to prevent her plan.",PG
Another Gay Movie,https://m.media-amazon.com/images/M/MV5BMTYzMTIzNDI3MV5BMl5BanBnXkFtZTgwNDQwMjMxMTE@._V1_SX300.jpg,2006,5.0,"Comedy, Romance",Todd Stephens,"Michael Carbonaro, Jonathan Chase, Jonah Blechman",Four gay high school friends make a pact to lose their virginity before they go to college.,Not Rated
Steins;Gate: The Movie - Load Region of Déjà Vu,https://m.media-amazon.com/images/M/MV5BOGJlNDM3ZjktOTNiNy00YmNmLWJlOGYtNDM4MTI2ZjRjOTNmXkEyXkFqcGdeQXVyNjc3OTE4Nzk@._V1_SX300.jpg,2013,7.8,"Animation, Mystery, Sci-Fi","Kanji Wakabayashi, Hiroshi Hamasaki, Takuya Satô","Mamoru Miyano, Asami Imai, Kana Hanazawa","After the events of the anime, Rintarou begins to feel the repercussions of extensive time travel, and eventually completely fades from reality. Kurisu, being the only companion to remember him, now must find a way to bring him back.",TV-14
Violet Evergarden: The Movie,https://m.media-amazon.com/images/M/MV5BYTJmNzc5YTEtNTBmNy00YmUxLWFlNzktYjZjMTg3OGY3ZDhkXkEyXkFqcGdeQXVyMzUzMzgxNA@@._V1_SX300.jpg,2020,8.3,"Animation, Drama, Fantasy",Taichi Ishidate,"Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu","After the aftermath of a war, a young girl who was used as a 'tool' for war learned to live. With the scars of burns, she goes back to her past to feel the true feelings of the Major's, ""I love you.""",Not Rated
Ray Donovan: The Movie,https://m.media-amazon.com/images/M/MV5BMThkMTBiMDItZGVhOC00MWJkLThlZjgtNmJiMTA0NjFjMDgyXkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_SX300.jpg,2022,6.8,"Crime, Drama, Thriller",David Hollander,"Liev Schreiber, Eddie Marsan, Dash Mihok","A showdown decades in the making brings the Donovan family legacy full circle as they find themselves drawn back to Boston. Struggling to overcome their violent upbringing, their fierce love for each other keeps them in the fight.",TV-MA
Yu-Gi-Oh!: The Movie - Pyramid of Light,https://m.media-amazon.com/images/M/MV5BNTQ4NzM0NTAyMF5BMl5BanBnXkFtZTYwOTc2MTg3._V1_SX300.jpg,2004,4.9,"Animation, Action, Adventure",Hatsuki Tsuji,"Dan Green, Eric Stuart, Amy Birnbaum","Underneath the sands of Egypt, Anubis, an ancient evil spirit, has awakened. It's up to Yugi, who defeated Anubis centuries ago, to use his skill and determination to rid the world of evil once again.",PG
Constantine: City of Demons - The Movie,https://m.media-amazon.com/images/M/MV5BZjM3M2EzYzAtYzcxYi00MWU2LWFhNmItNGJiZjMyZTUyNTQyXkEyXkFqcGdeQXVyMTU0OTM5ODc1._V1_SX300.jpg,2018,7.3,"Animation, Action, Fantasy",Doug Murphy,"Matt Ryan, Laura Bailey, Robin Atkin Downes","A decade after a tragic mistake, Chas Chandler and occult investigator John Constantine set out to cure Chas's daughter, Trish, from a demonically induced coma.",R
Sword Art Online the Movie: Ordinal Scale,https://m.media-amazon.com/images/M/MV5BZGE4M2M2OTYtZDgwMy00NGYwLWE0YTYtYzkyMDFjYWFhN2QzXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX300.jpg,2017,7.3,"Animation, Action, Adventure",Tomohiko Itô,"Yoshitsugu Matsuoka, Haruka Tomatsu, Kanae Itô","Kirito uncovers a conspiracy within Ordinal Scale, a popular AR game developed for a new system called The Augma.",TV-14
Fred: The Movie,https://m.media-amazon.com/images/M/MV5BOGFhMDc5NjYtODI4Ny00M2FmLTk3YmUtMTQwZDFlYmRiNDI1XkEyXkFqcGdeQXVyODIxNjk4NzQ@._V1_SX300.jpg,2010,2.0,"Adventure, Comedy, Family",Clay Weiner,"Lucas Cruikshank, Pixie Lott, Jake Weary","Lovestruck, awkward teen Fred Figglehorn makes desperate attempts to make Judy fall in love with him - while also dodging the mischievous Kevin.",TV-PG
Stitch! The Movie,https://m.media-amazon.com/images/M/MV5BMjE4NzAwMjIyMl5BMl5BanBnXkFtZTcwNjYwMjAwMQ@@._V1_SX300.jpg,2003,6.2,"Animation, Adventure, Comedy, Family, Sci-Fi","Tony Craig, Roberts Gannaway","Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers","Stitch, an alien living on Earth disguised as a dog with his human family, continues his adventures when he discovers that the alien family he never knew he had is now in Hawaii, being hunted down by galactic forces.",G
Steven Universe: The Movie,https://m.media-amazon.com/images/M/MV5BYmVjY2U1N2UtMmZhOC00ODc5LWE1MjktODZjMmQyZmUyZWYwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2019,7.7,"Animation, Action, Adventure","Rebecca Sugar, Joseph D. Johnston, Kat Morris","Zach Callison, Michaela Dietz, Estelle","Steven thinks his time defending the Earth is over, but when a new threat comes to Beach City, Steven faces his biggest challenge yet.",TV-PG
Best Worst Movie,https://m.media-amazon.com/images/M/MV5BMTQ1NjE1MjYzNF5BMl5BanBnXkFtZTcwMDU0MDczMw@@._V1_SX300.jpg,2009,7.2,"Documentary, Comedy",Michael Paul Stephenson,"George Hardy, Pita Ray, Micki Knox","A look at the making of the film Troll 2 (1990) and its journey from being crowned the ""worst film of all time"" to a cherished cult classic.",Not Rated
Piglet's Big Movie,https://m.media-amazon.com/images/M/MV5BMTc5MzE2ODAyOF5BMl5BanBnXkFtZTYwNTcwNDg3._V1_SX300.jpg,2003,6.1,"Animation, Adventure, Comedy",Francis Glebas,"John Fiedler, Jim Cummings, Ken Sansom","When Piglet comes up missing his Hundred Acre Wood friends use Piglet's own Book of Memories to find him, discovering along the way just how big a role he's played in their lives.",G
The Garbage Pail Kids Movie,https://m.media-amazon.com/images/M/MV5BMTgzMzEwMzY5Nl5BMl5BanBnXkFtZTgwMzczNjkwMzE@._V1_SX300.jpg,1987,2.7,"Adventure, Comedy, Family",Rod Amateau,"Anthony Newley, Mackenzie Astin, Phil Fondacaro",Dodger must confront the struggles of life as he is visited by the Garbage Pail Kids and intimidated by some older bullies.,PG
Pooh's Heffalump Movie,https://m.media-amazon.com/images/M/MV5BMTUyOTk5MDM4N15BMl5BanBnXkFtZTcwMTM0NDcyMQ@@._V1_SX300.jpg,2005,6.4,"Animation, Adventure, Comedy",Frank Nissen,"Jim Cummings, Brenda Blethyn, Kyle Stanger","When Roo sets off on his own into the Hundred Acre Wood, he discovers a friendly and playful Heffalump named Lumpy.",G
Road to Ninja - Naruto the Movie,https://m.media-amazon.com/images/M/MV5BMTQ5MTcyNDYwMV5BMl5BanBnXkFtZTgwNzMzNzc0MjE@._V1_SX300.jpg,2012,7.6,"Animation, Action, Adventure",Hayato Date,"Junko Takeuchi, Chie Nakamura, Toshiyuki Morikawa","Naruto and Sakura are captured in a parallel world by Madara, who's intentions are to steal the Nine Tails from Naruto.",TV-14
PAW Patrol: The Movie,https://m.media-amazon.com/images/M/MV5BZDM0ZDM5M2YtNGViMC00NTgyLWJlYTMtYWM4YTQxYmExOTc2XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_SX300.jpg,2021,6.1,"Animation, Action, Adventure",Cal Brunker,"Tyler Perry, Ron Pardo, Will Brisbin",Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,G
Digimon: The Movie,https://m.media-amazon.com/images/M/MV5BMjE2NTAyMjUxMl5BMl5BanBnXkFtZTYwOTAwODQ3._V1_SX300.jpg,2000,6.0,"Animation, Action, Adventure","Bob Buchholz, Mamoru Hosoda, Jeff Nimoy","Lara Jill Miller, Joshua Seth, Bob Papenbrook","Throughout three different stories, Kari Kamiya and her friends take on explosive adventures involving digital creatures.",PG
My Little Pony: The Movie,https://m.media-amazon.com/images/M/MV5BMmMxNWNhNjItZjhmMC00ZmViLThlYjItZDk5YTQ1MWZkOGM1XkEyXkFqcGdeQXVyNzY2ODYzOTU@._V1_SX300.jpg,2017,6.1,"Animation, Adventure, Comedy",Jayson Thiessen,"Emily Blunt, Kristin Chenoweth, Liev Schreiber","After a dark force conquers Canterlot, the Mane 6 embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship to save their homeland.",PG
Dragon Ball Z: The Movie - Dead Zone,https://m.media-amazon.com/images/M/MV5BMmNiYzgyM2EtMGU1Zi00Njk5LWE3NGYtYmU2ZjY2ZDk2N2YzXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,1989,6.8,"Animation, Short, Action",Daisuke Nishio,"Masako Nozawa, Toshio Furukawa, Hiromi Tsuru",Gohan is kidnapped by Garlic Jr.'s men so he can have Gohan's Dragon Ball to grant him immortality. Goku and his friends try to stop Garlic Jr. and save the world.,Unrated
Hey Arnold! The Movie,https://m.media-amazon.com/images/M/MV5BYjhlMTU0YWQtMjlkMi00MzI0LWJkYmMtNzVlMjMyYjY4ODJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,2002,5.9,"Animation, Adventure, Comedy",Tuck Tucker,"Spencer Klein, Francesca Marie Smith, Jamil Walker Smith",Arnold and company must recover a stolen document needed in order to prevent the neighborhood from being bulldozed.,PG
Naruto the Movie: Ninja Clash in the Land of Snow,https://m.media-amazon.com/images/M/MV5BYWFkMTJjODEtMjY2NC00OGRiLThkYjMtMzBjMzVhY2FlZTEyXkEyXkFqcGdeQXVyNjYwMjkwMjg@._V1_SX300.jpg,2004,6.6,"Animation, Action, Adventure",Tensai Okamura,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama",Naruto and his team are hired to protect a young actress from three rogue warriors in the Land of the Snow.,TV-14
Angry Video Game Nerd: The Movie,https://m.media-amazon.com/images/M/MV5BMjA2NzYzMTg4NF5BMl5BanBnXkFtZTgwNDcyMzIwMjE@._V1_SX300.jpg,2014,5.5,"Adventure, Comedy, Sci-Fi","Kevin Finn, James Rolfe","James Rolfe, Jeremy Suarez, Sarah Glendening",The AVGN must overcome his phobia of the worst video game in the world to save his fans.,Unrated
The Bad Education Movie,https://m.media-amazon.com/images/M/MV5BNzMxNTY1ODc1Nl5BMl5BanBnXkFtZTgwMzQyMzIzNjE@._V1_SX300.jpg,2015,5.8,Comedy,Elliot Hegarty,"Jack Whitehall, Charlie Wernham, Nikki Runeckles",Mr Wickers and his class go on one final school trip after they finish their GCSEs.,Not Rated
The Even Stevens Movie,https://m.media-amazon.com/images/M/MV5BZGJmYmZkODItNWQxOC00NTNmLTlmNDItMWZhMmQ4ZmNhNzBjXkEyXkFqcGdeQXVyOTM1Njc1ODM@._V1_SX300.jpg,2003,6.2,"Comedy, Family",Sean McNamara,"Shia LaBeouf, Christy Carlson Romano, Donna Pescow","Dream vacation Dream on! Ren, Louis, and the entire Stevens family battle ferocious squirrels, angry natives and one another on the adventure of a lifetime.",TV-G
Pokémon the Movie: I Choose You!,https://m.media-amazon.com/images/M/MV5BM2U3NmI4YzItYmRiNi00M2UxLWExNTYtNDZkZmJlNzlmM2M3XkEyXkFqcGdeQXVyNDkzMjE0NDE@._V1_SX300.jpg,2017,6.3,"Animation, Action, Adventure","Kunihiko Yuyama, Lisa Ortiz","Unshô Ishizuka, Rica Matsumoto, Sarah Natochenny",Ash Ketchum from Pallet Town is 10 years old today. This means he is now old enough to become a Pokémon Trainer. Ash dreams big about the adventures he will experience after receiving his first Pokémon from Professor Oak.,PG
Impractical Jokers: The Movie,https://m.media-amazon.com/images/M/MV5BNWYwNjVhZDUtZjk2Yi00Mjc5LTkwYWMtMzU2ZDY1N2VjZGU1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,2020,5.8,Comedy,Chris Henchy,"Paula Abdul, Joe Gatto, James Murray",The story of a humiliating high school mishap from 1992 that sends the Impractical Jokers on the road competing in hidden-camera challenges for the chance to turn back the clock and redeem three of the four Jokers.,PG-13
OHA Diyorum: The Movie,https://m.media-amazon.com/images/M/MV5BYzY2NjZhNjUtMjRmMy00MTZmLTlmY2QtNGNkNTQ5ODQ5NjQ0XkEyXkFqcGdeQXVyODY1MDkwOQ@@._V1_SX300.jpg,2017,1.6,Comedy,Ersan Özer,"Firat Sobutay, Melih Abuaf, Alper Rende",Firat's car gets stolen. Firat and his friends try to get Firat's car back.,N/A
Little Horror Movie,https://m.media-amazon.com/images/M/MV5BNjFjMjViMDgtMTBmMC00MWU0LWIwZTYtODEwZjZmZjVmNTFkXkEyXkFqcGdeQXVyMzE3MDkzMjM@._V1_SX300.jpg,2018,4.2,"Horror, Mystery",Jérôme Cohen-Olivar,"Einar Kuusk, Rosine Young, Rebecca Ramon","Three You tubers struggling to get more views on their adventure channel, travel to the mythical city of Casablanca, unaware that it hides a terrifying secret.",N/A
Smosh: The Movie,https://m.media-amazon.com/images/M/MV5BMTg2OTcyNzEwN15BMl5BanBnXkFtZTgwOTU0Mzc5NTE@._V1_SX300.jpg,2015,3.3,"Adventure, Comedy, Fantasy",Alex Winter,"Ian Hecox, Anthony Padilla, Michael Ian Black",An embarrassing video of Anthony surfaces online right before his fifth high school reunion. The Smosh dudes then take a portal into YouTube and race to change the video and re-write history before it blows Anthony's chances of re...,PG-13
Reefer Madness: The Movie Musical,https://m.media-amazon.com/images/M/MV5BNzVmYzlmZjEtNDFkZS00MWFlLThiMDktYzdiNTVkNjQxZDM4XkEyXkFqcGdeQXVyMTEwODg2MDY@._V1_SX300.jpg,2005,7.1,"Comedy, Drama, Horror",Andy Fickman,"Kristen Bell, Christian Campbell, Neve Campbell",An outrageous tongue-in-cheek musical comedy adaptation of the classic anti-marijuana propaganda film Reefer Madness (1936).,R
Rise of the Teenage Mutant Ninja Turtles: The Movie,https://m.media-amazon.com/images/M/MV5BZmIxYmFlNjQtYmU0NC00MWMzLTkyYTktYTBjZmE5NDRlODEyXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,2022,6.2,"Animation, Action, Adventure","Andy Suriano, Ant Ward","Ben Schwartz, Omar Benson Miller, Brandon Mychal Smith","When a mysterious stranger arrives from the future with a dire warning, Leo is forced to rise and lead his brothers, Raph, Donnie, and Mikey in a fight to save the world from a terrifying alien species.",TV-PG
Batman Beyond: The Movie,https://m.media-amazon.com/images/M/MV5BZjdjN2VjMDQtZjc2Ni00ZTIxLWIzYjktOTE0MTY3ZTFiNGZiXkEyXkFqcGdeQXVyMjI4OTg3MTc@._V1_SX300.jpg,1999,7.7,"Animation, Action, Sci-Fi","Curt Geda, Butch Lukic, Dan Riba","Will Friedle, Kevin Conroy, Teri Garr","Decades after the retirement of Bruce Wayne as Batman, a boy dons the identity to avenge his own father's murder.",TV-Y7
Nitro Circus: The Movie,https://m.media-amazon.com/images/M/MV5BMTM5NDM5ODEyN15BMl5BanBnXkFtZTcwOTk2NzcwOA@@._V1_SX300.jpg,2012,6.6,"Documentary, Action, Comedy","Gregg Godfrey, Jeremy Rawle","Travis Pastrana, Tommy Passemante, Jeremy Rawle","Travis Pastrana and his tight-knit, highly-skilled, adrenaline-addicted friends bring their impossible, ridiculous, insane and hysterical adventures to the big screen for the first time.",PG-13
Sweet Movie,https://m.media-amazon.com/images/M/MV5BMTEwMTIxNDM4OTVeQTJeQWpwZ15BbWU3MDQyMjE2NDE@._V1_SX300.jpg,1974,6.0,"Comedy, Drama, Mystery",Dusan Makavejev,"Carole Laure, Pierre Clémenti, Anna Prucnal","After winning the ""most virgin"" contest, Miss Canada is married to a rich milk tycoon. But she quickly flees the marriage to experience the world around her, full of sweetness and anarchy.",Not Rated
"Ultramarines: A Warhammer 40,000 Movie",https://m.media-amazon.com/images/M/MV5BNjZiNmExNDMtYTBlZi00NTk4LTlkNjAtYWJlMTYxNDFhMzg0XkEyXkFqcGdeQXVyODg1MTc3MTM@._V1_SX300.jpg,2010,5.5,"Animation, Action, Fantasy",Martyn Pick,"Terence Stamp, John Hurt, Sean Pertwee","A squad of Ultramarines answer a distress call from an Imperial Shrine World. A full Company of Imperial Fists was stationed there, but there is no answer from them. The squad investigates to find out what has happened there.",R
